species,mean_early_raw_abundance,mean_advanced_raw_abundance,direction,mannwhitney_u,p_value,fdr,minus_log10_fdr,rank
Lachnospiraceae bacterium OM04 12BH,0.015234902723735406,0.026171650485436893,advanced_high,49538.0,0.09518416926753319,0.7040895965914178,0.1523720726343361,209
Alistipes provencensis,0.002217898832684825,0.0022202912621359224,advanced_high,51077.5,0.09568290813156709,0.7044084570066795,0.1521754386086696,210
GGB9701 SGB15218,0.006312023346303502,0.00905997572815534,advanced_high,51668.0,0.0970488126016752,0.7110780297734117,0.14808273957879428,211
GGB3486 SGB4658,0.004283385214007783,0.008221092233009708,advanced_high,50961.5,0.09779855754889198,0.7128130466000334,0.14702436001698851,212
Firmicutes bacterium AF16 15,0.15377408560311287,0.28646750000000004,advanced_high,48980.0,0.09820774833493345,0.7128130466000334,0.14702436001698851,213
GGB4750 SGB6579,0.005116887159533074,0.017175849514563104,advanced_high,51167.5,0.09960853318836456,0.7196018332206149,0.14290773893879444,214
Dialister invisus,0.3079443968871595,0.34744441747572813,advanced_high,49450.0,0.10095081132288278,0.7259067642101246,0.13911915669569033,215
Alistipes putredinis,1.0872194163424125,1.3732047330097088,advanced_high,48979.0,0.10224313617355732,0.730420896043585,0.13642681090282238,216
Eggerthella lenta,0.0767266147859922,0.08463296116504855,advanced_high,49001.5,0.10270959239768726,0.730420896043585,0.13642681090282238,217
Parabacteroides johnsonii,0.05901311284046693,0.04603436893203884,early_high,55567.0,0.10299596076164393,0.730420896043585,0.13642681090282238,218
Isoptericola variabilis,0.007044163424124514,0.0037762621359223305,early_high,56609.5,0.10422002200563851,0.7338173762004184,0.1344120087171501,219
Solobacterium SGB6833,0.013811556420233463,0.030237330097087376,advanced_high,49042.5,0.10454929694229229,0.7338173762004184,0.1344120087171501,220
GGB9291 SGB14248,0.0027085603112840463,0.004980461165048544,advanced_high,51095.0,0.10489886166901194,0.7338173762004184,0.1344120087171501,221
Phascolarctobacterium succinatutens,0.3861816342412452,0.24027723300970877,early_high,56208.0,0.11185471682998334,0.7789522172033975,0.108489182175143,222
Fusobacterium mortiferum,0.6157069649805448,0.2754324029126214,early_high,55903.5,0.11286405339469163,0.7819319897515707,0.10683101901185059,223
Bifidobacterium pseudocatenulatum,0.3502987937743191,0.277101359223301,early_high,56463.5,0.11329415634175409,0.7819319897515707,0.10683101901185059,224
Escherichia marmotae,0.0006642412451361867,0.0007664077669902914,advanced_high,50651.5,0.11397981674374569,0.7831679852703592,0.10614507414746502,225
GGB9636 SGB15107,0.018634124513618677,0.04828094660194175,advanced_high,50622.5,0.11608558700127646,0.7941075995751035,0.10012064777984617,226
Mesosutterella multiformis,0.018393774319066147,0.04052541262135922,advanced_high,50633.0,0.11938679597008983,0.8096130641300053,0.09172249255739376,227
Actinobaculum sp oral taxon 183,0.0004370038910505836,0.00015970873786407767,early_high,54801.0,0.12017803314763939,0.8096130641300053,0.09172249255739376,228
Blautia producta,0.009703618677042801,0.02248211165048544,advanced_high,49919.5,0.12021956525543791,0.8096130641300053,0.09172249255739376,229
